Initial State,Heuristic,Expanded Nodes,Max Fringe Size,Depth,Execution Time
1 6 2 8 5 0 7 4 13 10 3 11 14 9 15 12,h3,Timeout,Timeout,Timeout,Timeout
1 6 2 8 5 0 7 4 13 10 3 11 14 9 15 12,h4,Timeout,Timeout,Timeout,Timeout
2 4 0 12 1 5 6 3 10 7 11 8 9 13 14 15,h1,Timeout,Timeout,Timeout,Timeout
2 4 0 12 1 5 6 3 10 7 11 8 9 13 14 15,h2,Timeout,Timeout,Timeout,Timeout
2 4 0 12 1 5 6 3 10 7 11 8 9 13 14 15,h3,Timeout,Timeout,Timeout,Timeout
2 4 0 12 1 5 6 3 10 7 11 8 9 13 14 15,h4,Timeout,Timeout,Timeout,Timeout
1 11 3 4 9 8 2 0 10 7 5 12 6 13 14 15,h1,Timeout,Timeout,Timeout,Timeout
1 11 3 4 9 8 2 0 10 7 5 12 6 13 14 15,h2,Timeout,Timeout,Timeout,Timeout
1 11 3 4 9 8 2 0 10 7 5 12 6 13 14 15,h3,Timeout,Timeout,Timeout,Timeout
1 11 3 4 9 8 2 0 10 7 5 12 6 13 14 15,h4,Timeout,Timeout,Timeout,Timeout
3 1 6 4 5 0 12 8 9 10 7 2 13 14 11 15,h1,Timeout,Timeout,Timeout,Timeout
3 1 6 4 5 0 12 8 9 10 7 2 13 14 11 15,h2,Timeout,Timeout,Timeout,Timeout
3 1 6 4 5 0 12 8 9 10 7 2 13 14 11 15,h3,Timeout,Timeout,Timeout,Timeout
3 1 6 4 5 0 12 8 9 10 7 2 13 14 11 15,h4,Timeout,Timeout,Timeout,Timeout
1 4 0 7 6 2 14 8 5 10 3 15 9 13 12 11,h1,20569,63836,24,0.5738332271575928
1 4 0 7 6 2 14 8 5 10 3 15 9 13 12 11,h2,Timeout,Timeout,Timeout,Timeout
1 4 0 7 6 2 14 8 5 10 3 15 9 13 12 11,h3,Timeout,Timeout,Timeout,Timeout
1 4 0 7 6 2 14 8 5 10 3 15 9 13 12 11,h4,Timeout,Timeout,Timeout,Timeout
1 3 6 4 14 5 2 12 9 10 8 15 11 0 13 7,h1,Timeout,Timeout,Timeout,Timeout
1 3 6 4 14 5 2 12 9 10 8 15 11 0 13 7,h2,Timeout,Timeout,Timeout,Timeout
1 3 6 4 14 5 2 12 9 10 8 15 11 0 13 7,h3,Timeout,Timeout,Timeout,Timeout
1 3 6 4 14 5 2 12 9 10 8 15 11 0 13 7,h4,Timeout,Timeout,Timeout,Timeout
1 2 7 3 5 0 4 8 9 6 11 12 13 10 14 15,h1,100,303,12,0.0019974708557128906
1 2 7 3 5 0 4 8 9 6 11 12 13 10 14 15,h2,Timeout,Timeout,Timeout,Timeout
1 2 7 3 5 0 4 8 9 6 11 12 13 10 14 15,h3,Timeout,Timeout,Timeout,Timeout
1 2 7 3 5 0 4 8 9 6 11 12 13 10 14 15,h4,Timeout,Timeout,Timeout,Timeout
6 2 7 3 1 9 14 4 0 13 12 11 5 10 15 8,h1,Timeout,Timeout,Timeout,Timeout
6 2 7 3 1 9 14 4 0 13 12 11 5 10 15 8,h2,Timeout,Timeout,Timeout,Timeout
6 2 7 3 1 9 14 4 0 13 12 11 5 10 15 8,h3,Timeout,Timeout,Timeout,Timeout
6 2 7 3 1 9 14 4 0 13 12 11 5 10 15 8,h4,Timeout,Timeout,Timeout,Timeout
